name,age,country
Erling Haaland,21,
Antony,22,
Wesley Fofana,21,
Aurélien Tchouameni,22,
Casemiro,30,
Alexander Isak,22,
Mykhaylo Mudryk,22,
Matthijs de Ligt,22,
Raheem Sterling,27,
Sadio Mané,30,
Romelu Lukaku,29,
Marc Cucurella,24,
Federico Chiesa,24,
Jules Koundé,23,
Cody Gakpo,23,
Richarlison,25,
Raphinha,25,
Lisandro Martínez,24,
Darwin Núñez,23,
Fabián Ruiz,26,
Gabriel Jesus,25,
Cristian Romero,24,
Kalvin Phillips,26,
Carlos Soler,25,
João Félix,23,
