name,age,position,Country,MarketValue,PreviousTeam,LeagueOfPreviousTeam,CountryOfPreviousTeam,Fee,YearOfTranfert,NewTeam,LeagueOfNewTeam,CountryOfNewTeam,Height,Agent,JoinedCurrentTeam,ContratExpires,Squad,Appearances,PPG,Goals,Assists,OwnGoals,SubsON,SubsOFF,YellowCards,SecondYellowCards,RedCards,PenaltyGoals,MinutesPerGoal,MinutesPlayed,PlaceOfBirth,DateOfBirth
Patrik Schick ,23,Centre-Forward,Czech Republic,€15.00m,AS Roma,Serie A,Italy,Loan fee:€3.50m,2019,RB Leipzig,Bundesliga,Germany,"1,91 m",Int. Sport ... ,"Sep 8, 2020","Jun 30, 2027",33,28,1.79,10,3,0,10,12,3,0,0,0,163',1.628',                                    Praha                                ,"                                Jan 24, 1996                                                                    (27)                                                            "
Djibril Sidibé ,27,Right-Back,France,€15.00m,AS Monaco,Ligue 1,Monaco,Loan fee:€2.50m,2019,Everton FC,Premier League,England,"1,83 m",NONE,"Sep 9, 2022","Jun 30, 2024",35,28,1.39,0,5,0,7,3,3,0,0,0,0,2.090',                                    Troyes                                ,"                                Jul 29, 1992                                                                    (30)                                                            "
Martin Ødegaard ,20,Attacking Midfield,Norway,€15.00m,Real Madrid,LaLiga,Spain,Loan fee:€2.00m,2019,Real Sociedad,LaLiga,Spain,"1,78 m",Nordic Sky ,"Aug 20, 2021","Jun 30, 2025",39,36,1.67,7,9,0,2,10,4,0,0,0,419',2.934',                                    Drammen                                ,"                                Dec 17, 1998                                                                    (24)                                                            "
Cristian Pavón ,23,Left Winger,Argentina,€15.00m,CA Boca Juniors,Superliga,Argentina,Loan fee:€1.80m,2019,Los Angeles Galaxy,MLS,United States,"1,74 m",NONE,"Jul 18, 2022","Jun 30, 2025",26,26,1.31,10,3,0,2,1,1,0,0,3,217',2.173',                                    Anisacate                                ,"                                Jan 21, 1996                                                                    (27)                                                            "
Rafinha ,26,Attacking Midfield,Brazil,€15.00m,FC Barcelona,LaLiga,Spain,Loan fee:€1.50m,2019,Celta de Vigo,LaLiga,Spain,"1,74 m",The Player ... ,"Sep 3, 2022","Jun 30, 2024",33,33,1.00,4,2,0,6,14,5,0,1,0,586',2.344',                                    São Paulo                                ,"                                Feb 12, 1993                                                                    (30)                                                            "
Mario Lemina ,26,Defensive Midfield,Gabon,€15.00m,Southampton FC,Premier League,England,Loan fee:€1.00m,2019,Galatasaray,Süper Lig,Turkey,"1,84 m",NONE,"Jan 13, 2023","Jun 30, 2025",28,28,1.57,1,0,0,1,9,8,0,0,0,2.228',2.228',                                    Libreville                                ,"                                Sep 1, 1993                                                                    (29)                                                            "
Pedro ,22,Centre-Forward,Brazil,€15.00m,ACF Fiorentina,Serie A,Italy,Loan fee:€1.00m,2019,CR Flamengo,Série A,Brazil,"1,85 m",NONE,"Jan 4, 2021","Dec 31, 2027",74,60,1.90,24,3,0,33,21,3,0,0,0,110',2.643',                                    Rio de Janeiro                                ,"                                Jun 20, 1997                                                                    (25)                                                            "
Daniel Sturridge ,29,Centre-Forward,England,€15.00m,Liverpool FC,Premier League,England,free transfer,2019,Trabzonspor,Süper Lig,Turkey,"1,82 m",NONE,Liverpool,"                                    Jul 1, 2022                                ",19,16,2.13,7,4,0,5,11,1,0,0,2,121',844',                                    Birmingham                                ,"                                Sep 1, 1989                                                                    (33)                                                            "
Hélder Costa ,25,Right Winger,Angola,€15.00m,Wolverhampton Wanderers,Premier League,England,loan transfer,2019,Leeds United,Championship,England,"1,79 m",Gestifute ,"Aug 7, 2022",-,46,46,1.89,5,8,0,11,14,3,0,0,0,633',3.164',                                    Luanda                                ,"                                Jan 12, 1994                                                                    (29)                                                            "
Sergio Reguilón ,22,Left-Back,Spain,€15.00m,Real Madrid,LaLiga,Spain,loan transfer,2019,Sevilla FC,LaLiga,Spain,"1,78 m",NONE,"Aug 30, 2022","Jun 30, 2023",49,38,2.16,3,5,0,3,3,10,0,0,0,1.018',3.055',                                    Madrid                                ,"                                Dec 16, 1996                                                                    (26)                                                            "
Ionut Radu ,22,Goalkeeper,Romania,€15.00m,Inter Milan,Serie A,Italy,loan transfer,2019,Genoa CFC,Serie A,Italy,"1,88 m",NONE,"Jan 25, 2023","Jun 30, 2023",31,19,0.74,0,0,0,0,1,0,0,37,2,1.740',0,                                    Bukarest                                ,"                                May 28, 1997                                                                    (25)                                                            "
Cristian Romero ,21,Centre-Back,Argentina,€15.00m,Juventus FC,Serie A,Italy,loan transfer,2019,Genoa CFC,Serie A,Italy,"1,85 m",NONE,"Aug 30, 2022","Jun 30, 2027",34,33,1.09,1,2,0,0,3,14,1,0,0,2.880',2.880',                                    Córdoba                                ,"                                Apr 27, 1998                                                                    (24)                                                            "
Roberto Inglese ,27,Centre-Forward,Italy,€15.00m,SSC Napoli,Serie A,Italy,loan transfer,2019,Parma Calcio 1913,Serie A,Italy,"1,86 m",NONE,"Sep 1, 2020","Jun 30, 2024",19,19,1.47,4,1,0,10,7,1,0,0,0,224',897',                                    Lucera                                ,"                                Nov 12, 1991                                                                    (31)                                                            "
Davide Zappacosta ,27,Right-Back,Italy,€15.00m,Chelsea FC,Premier League,England,loan transfer,2019,AS Roma,Serie A,Italy,"1,82 m",NONE,"Aug 24, 2021","Jun 30, 2025",15,9,1.78,0,1,0,6,0,0,0,0,0,0,446',                                    Sora                                ,"                                Jun 11, 1992                                                                    (30)                                                            "
Mohamed Elyounoussi ,25,Left Winger,Norway,€15.00m,Southampton FC,Premier League,England,loan transfer,2019,Celtic FC,Premiership,Scotland,"1,78 m",NONE,"Jul 1, 2018","Jun 30, 2023",26,22,2.45,7,6,0,4,12,2,0,0,0,209',1.465',                                    Al-Hoceima                                ,"                                Aug 4, 1994                                                                    (28)                                                            "
Cenk Tosun ,28,Centre-Forward,Turkey,€15.00m,Everton FC,Premier League,England,loan transfer,2019,Crystal Palace,Premier League,England,"1,83 m",NONE,"Jul 2, 2022","Jun 30, 2023",24,13,1.46,2,3,0,9,4,0,0,0,0,252',504',                                    Wetzlar                                ,"                                Jun 7, 1991                                                                    (31)                                                            "
Ionut Radu ,22,Goalkeeper,Romania,€15.00m,Inter Milan,Serie A,Italy,loan transfer,2019,Parma Calcio 1913,Serie A,Italy,"1,88 m",NONE,"Jan 25, 2023","Jun 30, 2023",31,19,0.74,0,0,0,0,1,0,0,37,2,1.740',0,                                    Bukarest                                ,"                                May 28, 1997                                                                    (25)                                                            "
Lloyd Kelly ,20,Centre-Back,England,€9.00m,Bristol City,Championship,England,€14.80m,2019,AFC Bournemouth,Premier League,England,"1,90 m",CAA Stellar ,"Jul 1, 2019","Jun 30, 2024",15,9,0.78,0,0,0,1,0,2,0,0,0,0,728',                                    Bristol                                ,"                                Oct 6, 1998                                                                    (24)                                                            "
Jakub Jankto ,23,Left Midfield,Czech Republic,€12.00m,Udinese Calcio,Serie A,Italy,€14.50m,2019,UC Sampdoria,Serie A,Italy,"1,84 m",NONE,"Aug 10, 2022","Jun 30, 2023",37,31,1.10,2,5,0,5,14,9,0,0,0,1.096',2.191',                                    Praha                                ,"                                Jan 19, 1996                                                                    (27)                                                            "
Amir Rrahmani ,25,Centre-Back,Kosovo,€6.00m,Hellas Verona,Serie A,Italy,€14.20m,2019,SSC Napoli,Serie A,Italy,"1,92 m",NONE,"Jan 20, 2020","Jun 30, 2024",38,37,1.24,0,1,0,0,1,5,0,0,0,0,3.349',                                    Prishtinë                                ,"                                Feb 24, 1994                                                                    (29)                                                            "
Manuel Locatelli ,21,Defensive Midfield,Italy,€12.00m,AC Milan,Serie A,Italy,€14.00m,2019,US Sassuolo,Serie A,Italy,"1,85 m",NONE,"Aug 18, 2021","Jun 30, 2026",38,34,1.50,0,4,1,2,15,9,0,0,0,0,2.671',                                    Lecco                                ,"                                Jan 8, 1998                                                                    (25)                                                            "
Joan Jordán ,24,Central Midfield,Spain,€12.00m,SD Eibar,LaLiga,Spain,€14.00m,2019,Sevilla FC,LaLiga,Spain,"1,85 m",NONE,"Jul 1, 2019","Jun 30, 2027",48,47,1.96,2,3,0,8,23,10,0,0,0,1.621',3.242',                                    Regencós                                ,"                                Jul 6, 1994                                                                    (28)                                                            "
Rémy Cabella ,29,Attacking Midfield,France,€14.00m,AS Saint-Étienne,Ligue 1,France,€12.00m,2019,FK Krasnodar,Premier Liga,Russia,"1,72 m",NONE,"Jul 10, 2022","Jun 30, 2023",12,12,1.25,2,1,0,4,7,2,0,0,1,278',556',                                    Ajaccio                                ,"                                Mar 8, 1990                                                                    (33)                                                            "
Breel Embolo ,22,Centre-Forward,Switzerland,€14.00m,FC Schalke 04,Bundesliga,Germany,€11.00m,2019,Borussia Mönchengladbach,Bundesliga,Germany,"1,87 m",ESHA ,"Jul 15, 2022","Jun 30, 2026",35,34,1.76,8,8,0,14,15,6,0,0,0,238',1.901',                                    Yaoundé                                ,"                                Feb 14, 1997                                                                    (26)                                                            "
